Session_FinalSessionNumber	Session_Clientid	Session_Title	Slot_Date	 Slot_StartTime	Slot_EndTime	Session_CECredit	Session_Withdrawn	Session_SubTitle	Session_VerificationLevel	Property_Name	Room_Name	Session_Award	Program_Code
PS230	13287	What Do I Need to Know About Abdominal Aortic Aneurysms?	10/18/2016	2:30 PM	4:00 PM	1.5	N	This session will discuss the contemporary diagnosis and management of abdominal aortic aneurysms (AAA) focusing on the principles that all surgeons need to know. Topics will include: How do we manage ruptured aneurysms effectively? What is the optimal management of small aneurysms? How do we do proper radiological diagnosis and follow up? What do I do with an aneurysm on the computed tomography scan? How do we manage endoleak or sac expansion?		Washington DC Convention Center	149AB	Y	2016_ps
PS231	13289	Ethics Colloquium: Burning Issues in Surgical Ethics	10/18/2016	2:30 PM	5:45 PM	3	N	Contemporary surgical practice continues to pose myriad ethical challenges. This case-based colloquium focuses on modern ethical dilemmas faced by a wide spectrum of academic and community surgeons. Areas to be explored include challenges caused by decreased specialist on-call coverage resulting in patient transfers; traveling surgeons providing needed surgical care but little post-operative care to underserved communities in the United States; media/television access to the trauma bay and operating room; and concurrent surgery. Each speaker will discuss one of these issues using a case to highlight the dimensions of the ethical problem followed by expert commentary from the faculty panel and audience input. The audience response system will be used.		Washington DC Convention Center	202 B	Y	2016_ps
PS232	13291	Clinical Trial Results and Implementation into the Surgical Oncology Practice Today	10/18/2016	4:15 PM	5:45 PM	1.5	N	The immediate challenge to improving the quality of surgical care is not discovering new knowledge but rather integrating what we already know into practice. This panel will present the results from the highest impact surgical clinical trials in cancer that have reported results over the last one plus year; discuss how these results should impact the current management of the surgical oncology patient; provide an overview and familiarize surgeons with state of the art strategies for translating research into practice and address barriers to successful implementation and how to overcome them. Studies to be covered will depend on the reporting of clinical trial results but will likely include topics such as neoadjuvant chemotherapy for breast cancer and laparoscopic resection of rectal cancer.		Washington DC Convention Center	201	Y	2016_ps
PS234	13295	Life-Threatening Perioperative Anesthetic Complications	10/18/2016	4:15 PM	5:45 PM	1.5	N	This panel session will focus on the potentially life-threatening perioperative anesthetic complications that may be encountered during the management of the surgical patient. Experts in the respective fields of surgery and anesthesia will collaborate in an educational format to provide an outcomes and safety based session. Participants in this panel session will receive in an interactive format a detailed review of the more clinically relevant complications including: massive hemorrhage opioid-induced respiratory depression in the post-anesthesia care unit obstructive sleep apnea and emergent airway difficulties.		Washington DC Convention Center	Ballroom A	Y	2016_ps
PS235	13297	Management of Complex Enterocutaneous Fistulas	10/18/2016	4:15 PM	5:45 PM	1.5	N	Enterocutaneous fistulas are challenging to manage. The panel will discuss principles of sepsis control nutrition radiological assessment and operative management. In addition to bowel resection closure of the abdominal wall often requires a multidisciplinary approach.		Washington DC Convention Center	Hall D	Y	2016_ps
PS236	13299	Palliative Care in High-Risk (Elderly Frail and Cancer) Patients	10/18/2016	4:15 PM	5:45 PM	1.5	N	Several reviews have documented palliative surgical interventions are frequently performed for control of pain dyspnea and wound complications. The need for surgical palliation is likely to increase with an aging population and longer survival of patients with oncologic and non-oncologic disease such as cardiomyopathy. To date much of the literature and education about palliative care for surgeons has been directed primarily towards general surgeons despite the fact palliative surgical interventions are done by neurosurgeons orthopedists thoracic and urologic surgeons. This panel will identify several effective palliative interventions performed by surgical sub-specialists for highly symptomatic patients with advanced disease and the role of general surgeons and intensivists in collaborating with their sub-specialist colleagues in the conduct of non-operative aspects of palliative care.		Washington DC Convention Center	Ballroom B	Y	2016_ps
PS237	13301	Social Media and Surgical Education	10/18/2016	4:15 PM	5:45 PM	1.5	N	By embracing social media as a collaborative forum surgeons can more effectively and transparently obtain immediate global feedback that in turn has potential to improve both patient outcomes as well as the quality of care we provide. Highlights the educational endeavors from a number of successful forums will be discussed. Risks and benefits of using social media for educating surgeons will be discussed.		Washington DC Convention Center	202 A	Y	2016_ps
PS238	13303	Thoracic Outlet Syndrome	10/18/2016	4:15 PM	5:45 PM	1.5	N	This session will address the basic diagnosis and management of patients with a swollen arm especially in athletes. How do we make the diagnosis  neurogenic venous or arterial? What is the role of medical management and physical therapy? What do we do with patients on workmans compensation? Is there a role for Botox?		Washington DC Convention Center	145	Y	2016_ps
PS239	13305	Work-up and Management of a Functional Adrenal Mass	10/18/2016	4:15 PM	5:45 PM	1.5	N	With the increasing use of abdominal imaging adrenal incidentalomas are frequently identified. The initial assessment of an adrenal nodule includes a functional work-up to evaluate for pheochromocytoma hyperaldosteronism and Cushings syndrome. This session will discuss: 1) functional work-up options (labs and imaging) and criteria for the diagnosis of pheochromocytoma hyperaldosteronism and Cushings syndrome; 2) management options for these 3 entities; 3) pre-operative preparation and intraoperative management of pheochromocytoma; 4) surgical approaches to adrenalectomy (open transabdominal or retroperitoneoscopic laparoscopic robotic); 5 )short and long-term outcomes after surgery.		Washington DC Convention Center	207A	Y	2016_ps
PS300	13307	Cholecystectomy 2016: Achieving a Culture of Safety	10/19/2016	8:00 AM	9:30 AM	1.5	N	Since the widespread implementation of laparoscopic cholecystectomy 26 years ago the rate of bile duct injury has remained elevated extracting substantial human and economic costs. Strategies to avoid bile duct injury focus on preoperative risk assessment anatomic knowledge operative dissection verification of the critical view of safety intra operative bile duct imaging and familiarity with alternatives to total cholecystectomy for difficult cases.		Washington DC Convention Center	Hall D	Y	2016_ps
PS301	13309	Compartment Syndrome: What Every Surgeon Should Know	10/19/2016	8:00 AM	9:30 AM	1.5	N	Compartment syndrome remains a common cause of adverse patient outcomes impacting both life and limb. Even in 2016 the timely diagnosis and treatment of compartment syndrome remains a major challenge. A practical approach to the diagnosis and treatment of extremity and abdominal compartment syndrome will be presented. Diagnostic options treatment triggers and critical pitfalls will be discussed using a series of multi-media rich video enhanced presentations.		Washington DC Convention Center	Ballroom C	Y	2016_ps
PS302	13311	The Evolving Role of Surgical Resection after Pre-Operative Therapy for Locally Advanced Hepatobiliary Cancers	10/19/2016	8:00 AM	9:30 AM	1.5	N	Advances in systemic therapy for hepatobiliary cancer have yielded improved response rates. Many patients with extensive hepatic disease have become surgical candidates after preoperative systemic therapy. This panel will discuss the role of the surgeon in the evaluation and management of this population of patients.		Washington DC Convention Center	202 A	Y	2016_ps
PS303	13313	Eyelid and Orbital Masses and Deformities: Diagnosis and Management	10/19/2016	8:00 AM	9:30 AM	1.5	N	This panel will consider congenital and acquired entities that call for diagnosis and correction often by the combined efforts of several surgical subspecialties including head and neck surgeons plastic surgeons and on occasion neurosurgeons. Correction of eyelid and orbital deformities are important for creating or restoring normal function as well as for a more acceptable appearance. Benign and malignant entities may present with differing approaches for the application of best practice and achievement of a satisfactory outcome. For some conditions the order in which their components might be resolved or factors influencing the choice among several alternative treatments will be presented. Comments and questions from the audience are invited.		Washington DC Convention Center	206	Y	2016_ps
PS304	13315	New Approaches to an Old Problem:  Pediatric Abdominal Wall Defects	10/19/2016	8:00 AM	9:30 AM	1.5	N	This panel will discuss new modalities for the closure of pediatric abdominal wall defects including sutureless gastroschisis closure methods for closure of giant omphalocoele and use of separation of components for complicated abdominal wall defects		Washington DC Convention Center	144	Y	2016_ps
PS305	13317	Oncoplastic Surgery: Aiding the Treatment of Women with Breast Cancer	10/19/2016	8:00 AM	9:30 AM	1.5	N	Panelists would cover a variety of new surgical techniques that facilitates better patient care for women with breast cancer. Discussion of collegial versus combative interaction between plastic and breast and general surgeons and the practice has evolved. Should our surgical training programs graduate specialists that can both resect and reconstruct for our patients needing breast surgery.		Washington DC Convention Center	145	Y	2016_ps
PS306	13319	What's New in Surgical Critical Care?	10/19/2016	8:00 AM	9:30 AM	1.5	N	This session will review evidence-based guidelines and new pivotal clinical trials in sepsis management (Process Arise Promise) & others. Panel members will discuss new strategies for assessment of adequacy of resuscitation in shock states including bedside transthoracic echocardiography by the intensive care unit team continuous transesophageal echocardiography FloTrac and other devices to assess and optimize cardiac performance. This session will also review and discuss new clinical trials and changes in nutritional support in surgical critical care comparing enteral vs. parenteral nutrition and optimal caloric intake required for critically ill patients.		Washington DC Convention Center	Ballroom A	Y	2016_ps
PS307	13321	Spectacular Cases	10/19/2016	8:00 AM	11:15 AM	3	N	In this dynamic session residents present spectacular cases to a panel group of experts. The cases are presented in a format this is similar to a morbidity and mortality conference. An interactive discussion ensues between the presenters and the panel; challenging the panel to dispute the course of action taken in very difficult and unusual circumstances and includes audience participation		Washington DC Convention Center	150	Y	2016_ps
PS308	13323	Advanced Endoscopic Techniques	10/19/2016	9:45 AM	11:15 AM	1.5	N	A number of newer endoscopic techniques such as intraluminal stents saline assisted polypectomy. endoscopic submucosal resection are available to manage patients. The panel will discuss indications and therapeutic techniques.		Washington DC Convention Center	145	Y	2016_ps
PS309	13325	Cardiothoracic Surgery Maintenance of Certification at Your Own Institution	10/19/2016	9:45 AM	11:15 AM	1.5	N	This panel session will focus on methods to develop group institutional and/or regional activities to provide evidence of maintenance of certification (MOC). The American Board of Thoracic Surgery (ABTS) MOC allows for these efforts in lieu of an individual self-improvement project to fulfill MOC. This session will focus on what projects could be done at the group level at a surgeons home institution or a surgeon can partner with a regional quality improvement organization to fulfill MOC requirements for quality improvement.		Washington DC Convention Center	140	Y	2016_ps
PS310	13327	Contemporary Management of Breast Cancer: The Definition of Adequate Margins in Breast Conservation Surgery and the Role of Sentinel Lymph Node Biopsy	10/19/2016	9:45 AM	11:15 AM	1.5	N	A number of studies reveal variation among surgeons in the determination of what constitutes adequate margins in breast conservation surgery. As a consequence this lack of consistency can result in additional surgery that may be unnecessary there may be associated increased morbidity including inferior cosmetic outcomes increased patient anxiety and increased costs. Moreover the increased application of systemic therapies has dramatically diminished the rates of local recurrence which may be further influenced by a tumors molecular profile. To this end the role of sentinel lymph node biopsy has also evolved. An update will be provided on the prevailing literature and consensus recommendations that should be applied to breast conservation surgery and sentinel lymph node biopsy in the multidisciplinary approach to treatment.		Washington DC Convention Center	Ballroom C	Y	2016_ps
PS311	13329	Non-Bariatric Surgery in the Morbidly Obese	10/19/2016	9:45 AM	11:15 AM	1.5	N	The rate of obesity and morbid obesity in the US continues to rise. As such the presentation of a morbidly obese patient in the general surgical clinic and the emergency room is daily occurrence and a topic of interest for all practicing general surgeons. This proposed panel would not be discussing bariatric surgery but instead it would have a bi-fold aim: 1) Discuss technical tips and tricks for the performance of general surgical procedures in the morbidly obese and 2) Discuss modifications in disease management for this patient population. Within this context presentations of interest could include the preoperative and intraoperative management of: 1) Gallstone disease 2) Hernias (ventral and inguinal) 3) Foregut diseases (Gastroesophageal Reflux Disease  hiatal hernias) and 4) Colorectal pathology.		Washington DC Convention Center	Ballroom A	Y	2016_ps
PS312	13331	Trauma: Challenge the Experts-Case Discussion	10/19/2016	9:45 AM	11:15 AM	1.5	N	Outstanding Trauma Surgeons will present to the audience and their fellow panelists six difficult trauma cases with complex decision making. The other panelists and the audience will be invited to ask questions make suggestions and critique the case. A focus will be on optimal decision making for surgeons who have trauma as a part of their practice.		Washington DC Convention Center	Hall D	Y	2016_ps
PS313	13333	Pediatric Neurologic Anesthetic Risks:  What Do the Data Show?	10/19/2016	9:45 AM	11:15 AM	1.5	N	Advances of surgical techniques in newborns and infants have decreased the morbidity and mortality associated with surgical interventions in this patient population. However evidence is accumulating that the anesthetics required to successfully complete these procedures may have an effect on the neural development in these patients. This panel discussion will address the current data regarding the risks to children from current anesthetic agents.		Washington DC Convention Center	152A	Y	2016_ps
PS314	13335	Professional Development of Surgical Trainees	10/19/2016	9:45 AM	11:15 AM	1.5	N	General Surgery has one of the highest rates of resident attrition and is one of the few where attrition has increased despite duty hour reductions. A recent study showed that an alarmingly high rate (58 percent) of residents seriously considered leaving training with women at higher risk. Attrition rates vary significantly by residency program. The purpose of this ACS session is to 1) frame the problem of general surgery resident attrition 2) discuss why female residents may be at particularly high risk 3) identify strategies to screen for medical students who are the best match for a program and 4) report findings of  the Association of Program Directors in Surgery initiated multi-institutional task force on resident attrition.		Washington DC Convention Center	144	Y	2016_ps
PS315	13337	The College's International Scholars and Travelers 2016	10/19/2016	12:00 PM	4:00 PM	3	N	For nearly 50 years the College has provided Clinical Congress scholarships to outstanding young international surgeons. The Year 2016 international scholars and traveling fellows will make brief presentations on their research or practice or surgery in their home countries. The International Guest Scholars International Surgical Education Scholars and the Exchange Fellows from Australia-New Zealand Germany and Japan will provide their U.S. Canadian and international colleagues in the audience with greater insight into the art and science of surgery as practiced in diverse countries around the world.		Washington DC Convention Center	201	N	2016_ps
PS316	13339	Assessing Your Hospital's Financial Health and How Does it Affect Your Job Hunt?	10/19/2016	12:45 PM	2:15 PM	1.5	N	The panel will discuss finances in health care with a focus on small hospitals and ambulatory centers. It will discuss ways to access your hospitals finances (district hospital versus 501(c)(3) versus for- profit). What is not obvious but vital: Days of Cash on Hand Days in Accounts Receivable (AR) AR Turnover Debt/Equity ratio etc. It will consider demographic challenges that keep hospitals healthy. It will also address job negotiations. Salary structure available benefits and incentive programs are not always transparent. Understanding what are considered reasonable requests and when to raise these issues during the interview process may pose a challenge. This panel discussion will provide insights into job negotiation for both junior and senior surgeons and for those interested in academic and private practice.		Washington DC Convention Center	145	Y	2016_ps
PS317	13341	Coagulopathy: Old Problem/New Solutions	10/19/2016	12:45 PM	2:15 PM	1.5	N	Coagulopathy is common whether pharmacologically or traumatically induced. Thrombelastograph® Hemostasis Analyzer(TEG) seems to be becoming popular as well as the tranexamic acid (TXA) and three and four factor pro thrombin complexes (PCC). This session thorough the format of a debate will look at the advantages and disadvantages as well as supporting scientific evidence to discuss whether we should all be using TEG TXA and PCC type drugs.		Washington DC Convention Center	Ballroom C	Y	2016_ps
PS318	13343	Colorectal Anastomotic Leaks: Prevention and Management	10/19/2016	12:45 PM	2:15 PM	1.5	N	Colorectal anastomotic leaks are common and a significant source of morbidity and mortality. Principles to create the optimum anastomosis and options to manage leaks are discussed.		Washington DC Convention Center	Ballroom A	Y	2016_ps
PS319	13345	The Enduring Impact of Three African-American Surgical Pioneers	10/19/2016	12:45 PM	2:15 PM	1.5	N	It is challenging to quantify the enduring multigenerational impact and underappreciated contributions of African American academic surgeons in the 20th century. This panel will highlight the accomplishments of three surgeons in order to exemplify the mantra made famous by 1 Excellence of performance will transcend artificial barriers created by man: a) Charles Drew a decorated surgical scientist whose transparent agenda was to forge a more complete society by training the very best surgeons of color and advocating for their placement in institutions around the country; b) Asa Yancey a Drew trainee who headed two surgical training programs for surgeons of color in the 1950s and c) John Norman a cardiac surgeon and one of the most prolific manuscript authors of the century.		Washington DC Convention Center	206	Y	2016_ps
PS320	13347	Logistics and Wellness for Pregnant Surgeons	10/19/2016	12:45 PM	2:15 PM	1.5	N	The demands of a surgical career whether one is a resident a solo surgeon in private practice or an attending at a teaching hospital are quite different that those of most other professions rendering much of the advice targeting working women during their pregnancies irrelevant. This panel will provide concrete advice to women surgeons about managing their work obligations throughout their pregnancies. Issues addressed will include workplace exposures (e.g. radiation needle sticks chemotoxic agents ergonomics) strategies for appropriate time off and arranging clinical coverage and practical tips for a healthy pregnancy and post-partum period.		Washington DC Convention Center	144	Y	2016_ps
PS321	13349	Readiness Currency and Competency for Military Surgeons: A Presentation by the Military Health System Strategic Partnership ACS.	10/19/2016	12:45 PM	2:15 PM	1.5	N	This session will explore the current state of readiness for deployment  maintenance  and measurements of competency for the military surgeon and opportunities for partnership in the civilian sector. The speakers will address residency training preparation for deployment challenges encountered in garrison practice and potential scenarios for the military surgeon in the 21st century.		Washington DC Convention Center	150	Y	2016_ps
PS322	13351	Utility of Pediatric NSQIP: How does it Help Me?	10/19/2016	12:45 PM	2:15 PM	1.5	N	The ACS NSQIP-Pediatric is the first multi-institutional multi-disciplinary program designed to measure compare and report outcomes associated with the quality of childrens surgical care. This panel will discuss how the program has evolved over time from a registry of adverse events to a comprehensive comparative performance platform targeting a wide variety of resource utilization and disease-specific outcomes. The future of the program as a quality measurement and assurance vehicle for the evolving Childrens Surgery Verification Program (CHVP) will also be discussed.		Washington DC Convention Center	202 A	Y	2016_ps
PS323	13353	Abdominal Wall Reconstruction: Past Present and Future	10/19/2016	2:30 PM	4:00 PM	1.5	N	This session will review options for challenging abdominal wall reconstruction including small bowel obstruction hernias necrotizing soft tissue infections etc. Panel members will discuss pro/con of biologic versus synthetic meshes in clean versus contaminated abdomen underlay versus only component separation and potential techniques for reconstruction. They will review optimal decision-making regarding laparoscopic versus open approaches to reconstruction and the American Hernia Society Quality Collaborative (AHSQC).		Washington DC Convention Center	Ballroom A	Y	2016_ps
PS324	13355	Appendicitis: Why Haven't We Figured Out Who to Operate On What to Treat Non-operatively or Who to Drain Percutaneously?	10/19/2016	2:30 PM	4:00 PM	1.5	N	Despite the frequency of appendicitis as a surgical emergency there has been no consensus on a commonly accepted algorithm for its management. This panel will discuss the appropriate selection of patients for operative and non-operative management of appendicitis. Outcomes and costs of the various management strategies will be examined		Washington DC Convention Center	Ballroom C	Y	2016_ps
PS325	13357	Avoiding Payment Penalties: Understanding and Complying with Payment Qualifying Systems Meaningful Use and the Physician Value-Based Payment Modifier	10/19/2016	2:30 PM	4:00 PM	1.5	N	Each year Centers for Medicare & Medicaid Services (CMS) makes changes to the Physician Quality Reporting System (PQRS) and the Electronic Health Records Incentive Program (also known as 'Meaningful Use') that will affect practitioners who are paid under Medicare Part B. In addition physicians performance in 2016 will impact their payment under the physician value-based payment modifier which will pay all physicians differentially based on the quality and cost of the care they provide. This session will provide important updates on these complex program requirements the impact of the programs on surgeons and further information on how to navigate the programs to avoid significant penalties of up to ten percent of your Part B Medicare reimbursement. This number may change slightly depending on future final rules.		Washington DC Convention Center	146 A	Y	2016_ps
PS326	13359	Detection and Treatment of Vascular Emergencies	10/19/2016	2:30 PM	4:00 PM	1.5	N	The panel will cover emergency angiography and venography and external hemorrhage control measurement of compartment pressures and fasciotomy techniques and emergency vascular shunting techniques which are invaluable to surgeons in resource poor areas especially where geography or/weather prevents expedited transfer at times. It will also review indications and techniques for vena cava filter placement. Indications for and proper use of tourniquets will be addressed. Review of open abdominal aortic aneurysm repairs will also be included.		Washington DC Convention Center	144	Y	2016_ps
PS327	13361	Models for Successfully Integrating New Interprofessional Team Members	10/19/2016	2:30 PM	4:00 PM	1.5	N	Most surgeons have limited knowledge regarding employment and collaborative practice with other health care professionals yet they are critical members of a highly functioning interdisciplinary team-based surgical practice which is increasingly replacing solo practitioners as a care model. Team-based care in the context of changing health care is supported by data on patient safety outcomes and satisfaction. This course will review models for educating supervising building and retaining teams as well as details related to billing coding and documenting services which help justify the benefits to patients (safety satisfaction quality and outcomes) as well as to the practice/institution (productivity financial time compliance service and satisfaction). At the conclusion members will be able to list the benefits of various models of team-based care.		Washington DC Convention Center	152A	Y	2016_ps
PS328	13363	Strategies for the Resident and Surgeon Facing Burnout	10/19/2016	2:30 PM	4:00 PM	1.5	N	Surgery by its very nature is stressful and added to this are the unprecedented changes in the healthcare system. Surgeons are prone to burnout as early as surgical residency and throughout their careers. This session will discuss risk factors  and the symptoms and signs of burnout. The audience response system will be used so that surgeons may determine if they are suffering burnout. Prevention and management strategies will be discussed for surgeons at all career phases with an emphasis on wellness including stress management and relaxation techniques physical activity nutrition time management cognitive restructuring and attitude. Finally if all else fails there will be discussion of transitioning to another career or retirement something which traditionally has been difficult for many.		Washington DC Convention Center	202 A	Y	2016_ps
PS329	13365	The Successful Resident Educator: Tips on Teaching and Feedback	10/19/2016	2:30 PM	4:00 PM	1.5	N	Surgical residents find themselves in a unique educational position. While still trainees themselves they are concurrently responsible for providing education to medical students and junior residents. While time spent with faculty or in formal didactics pales in comparison to the time residents spend with each other and with students residents rarely receive instruction in teaching and providing feedback. Providing residents with the skills to be educators both optimizes the clinical learning environment and models effective teaching behaviors for future generations of educators. The ACS has been committed to helping surgical residents obtain the tools necessary to leverage their role and responsibility as teachers and leaders. This panel discussion aims to highlight innovative and effective teaching and feedback strategies which can be adopted by surgical residents.		Washington DC Convention Center	150	Y	2016_ps
PS330	13369	The Value of Patient Reported Outcome Measures for Surgeons and Their Patients	10/19/2016	2:30 PM	4:00 PM	1.5	N	Patient reported outcomes (PROs) predict survival postoperative morbidity and can distinguish the invasiveness of surgical procedures. In some states reimbursement for certain operative procedures (e.g. spine and cataract surgery) is already linked to measuring improvement in patient quality of life. However many surgeons find measuring PROs cumbersome and are unfamiliar with the relevance of the measures to patient care. The panel will provide an introduction to modern PRO tools such as the NIH/FDA supported Promis-10 and easy to use linear analog scales now replacing legacy tools such as SF-36). These new tools are designed to make assessment of PROs quick and easy to incorporate into clinical practice. Surgeons will be able to understand how to adjust their therapeutic plans based on the measures obtained.		Washington DC Convention Center	102	Y	2016_ps
PS331	13371	A Night on Call in the Surgical Intensive Care Unit-Case Panel	10/19/2016	4:15 PM	5:45 PM	1.5	N	This session will focus on challenging but practical real life cases presented to a panel of critical care experts. Each of these cases will be centered on common problems that are associated with a diagnostic dilemma or treatment decision. The experts will be selected carefully based on their experience in dealing with these problems. Practical take home messages tips and tricks will be offered for each of the cases. Audience interaction will be encouraged through the use of an audience response system.		Washington DC Convention Center	Ballroom A	Y	2016_ps
PS332	13373	Avoiding Disaster in Thyroid Surgery:  Key Surgical Maneuvers	10/19/2016	4:15 PM	5:45 PM	1.5	N	Contemporary optimal care of patients with thyroid cancer demands a team approach that would include both surgical and nonsurgical expertise. Much focus at the ACS has centered on the surgical focus of immediate thyroid care particularly the extent of surgical resection and neck management. This panel would seek to emphasize other aspects of care unique to a successful program. Specific panelist topics would include the creation and implementation of thyroid specific tumor boards rehabilitative surgical options for patients with complicated or advanced/invasive disease growth of programs in parallel at single institutions where thyroid care is performed by different subspecialists and combined efforts with other specialties when needed - thoracic and vascular surgery.		Washington DC Convention Center	Ballroom B	Y	2016_ps
PS333	13377	Coming of Age in Cancer Immunotherapy	10/19/2016	4:15 PM	5:45 PM	1.5	N	Within the last few years significant advances in immunology have led to the development of therapies to alter the immune environment of diverse cancers. These therapies include methods to activate the immune system by targeting CTLA-4 (eg ipilimumab) or programmed cell death protein 1 (PD-1) (ie nivolumab or pembrolizumab). An alternative approach is the recognition that cancer cells evade the cell immune evasion through expression of PD-L1 an immunosuppressive PD-1 ligand for which several antibody-mediated inhibitors have been developed. These agents have demonstrated significant clinical efficacy in recent early phase human trials across a diverse spectrum of tumor types including melanoma lung cancer and head/neck cancer.		Washington DC Convention Center	207A	Y	2016_ps
PS334	13379	Emergency Complications after Bariatric Surgery	10/19/2016	4:15 PM	5:45 PM	1.5	N	Bariatric surgery has seen an explosion in volume over the past decade. The emergency general surgeon may be asked to care for post-bariatric surgery patients and needs to be familiar with the postoperative complications and pitfalls of this patient population. This session will present the diagnosis and management of post-bariatric surgery complications.		Washington DC Convention Center	Ballroom C	Y	2016_ps
PS335	13381	Liver Transplantation vs. Resection for Hepatocellular Carcinoma; East Meets West	10/19/2016	4:15 PM	5:45 PM	1.5	N	Hepatocellular carcinoma (HCC) complicates patients with concomitant liver diseases. In Western countries liver cirrhosis is generally regarded as a contraindication to hepatic resection while in Eastern countries where cadaveric organ donation is scarce liver transplantation is often reserved for advanced liver cirrhosis with non-advanced HCC. In this panel experts from the West and East will discuss the indications for liver transplantation and resection for HCC and difference in cadaveric and live donor liver transplantation in terms of indications techniques outcomes population acceptance and future challenges.		Washington DC Convention Center	146 A	Y	2016_ps
PS336	13383	Multimodality Approach in the Management of Rectal Cancer	10/19/2016	4:15 PM	5:45 PM	1.5	N	Management of rectal cancer has improved by the use of a multidisciplinary committee to optimize the evaluation and management of rectal cancer. The use of  magnetic resonance imaging and chemoradiotherapy as well as various operative techniques will be discussed.		Washington DC Convention Center	144	Y	2016_ps
PS337	13385	Mythbusters: Deconstructing the Surgery Clerkship	10/19/2016	4:15 PM	5:45 PM	1.5	N	This will be set up as a short intro presentation followed by a point-counterpoint panel looking at the third-year medical student clerkship from the perspective of medical students a clerkship director and other surgery faculty. It is designed for any medical students or medical educators who teach them. We will examine every aspect of the third-year surgery clerkship including work hours caseload reading materials humanism in medicine resident/student interaction surgical technique teaching styles and take an in-depth look at not just how we can teach but what is most important to learn. Insight into the perspective of the millenniall generation's approach to learning is highlighted and techniques to optimize learning to this group.		Washington DC Convention Center	150	Y	2016_ps
PS338	13387	Undescended Testis	10/19/2016	4:15 PM	5:45 PM	1.5	N	A comprehensive review of the diagnosis and management of undescended testis including indications for imaging laparoscopy orchidopexy and other issues including fertility and potential malignancy		Washington DC Convention Center	201	Y	2016_ps
PS400	13389	Ten Hot Topics in General Surgery	10/20/2016	8:00 AM	9:30 AM	1.5	N	In this popular session the panelists will review 10 of the hottest topics in general surgery.		Washington DC Convention Center	Ballroom A	Y	2016_ps
PS401	13391	Ten Hot Topics in Ensuring Surgical Safety	10/20/2016	8:00 AM	9:30 AM	1.5	N	This session will provide a comprehensive overview of the important emerging evidence in improving surgical outcomes.  The panelists will present a brief description of the problem posed by their topic and potential interventions that may reduce the risk and improved outcomes.  The ten proposed topics to be covered include: Diabetes malnutrition frailty delirium coronary stents smoking obstructive sleep apnea steroids goal directed fluid therapy and transfusion.		Washington DC Convention Center	102	Y	2016_ps
PS402	13393	Controversies in the Management of Thyroid and Parathyroid Cancer in Adolescents and Children	10/20/2016	8:00 AM	9:30 AM	1.5	N	The prevalence of thyroid disorders including neoplasia has been demonstrated to be rising in the pediatric age group. Recent American Thyroid Association (ATA)  guidelines have emerged to assist surgeons in decision making with regards to investigation and timing of therapeutic options. Panelists will provide all relevant recent guidelines with regards to diagnostic imaging needle biopsy timing of surgery choice of surgery and post-operative care. The panel will also present case studies to help demonstrate the utility of the ATA guidelines in pediatric patient care.		Washington DC Convention Center	150	Y	2016_ps
PS403	13397	Milestones Autonomy and Supervision in Surgical Training	10/20/2016	8:00 AM	9:30 AM	1.5	N	There is widespread belief that general surgery residents are not prepared to enter into independent practice at completion of five years of clinical training. This belief is supported by recent studies assessing the readiness of recently graduated surgery residents beginning advanced surgical fellowships. The purpose of this ACS session is to 1) frame the problem of general surgery resident autonomy 2) discuss principal causes contributing to this problem in general surgical residency 3) identify strategies that engender and support operative autonomy during surgical training and 4) report on current efforts and proposed strategies for surgical education redesign that will enhance resident preparedness for independent practice.		Washington DC Convention Center	202 B	Y	2016_ps
PS404	13399	Mass Casualties and Preparing for Them in 2017	10/20/2016	8:00 AM	9:30 AM	1.5	N	Train crashes explosions weather events mass shootings and demonstrations all have impacted trauma and non- trauma centers with large influxes of patients in recent years. Preparation within the hospital and region are key factors in optimizing outcomes in these difficult situations. Social and mainstream media have changed the way we experience these disasters and how we get information. Experts in the field will discuss real life situations and provide pearls in planning for these inevitable events including media interaction.		Washington DC Convention Center	Ballroom B	Y	2016_ps
PS405	13401	Nontraumatic Perforation of the Gastrointestinal Tract	10/20/2016	8:00 AM	9:30 AM	1.5	N	Perforations of the gastrointestinal tract (GI) are typically the result of penetrating trauma. However the entire length of the GI tract may develop a perforation from nontraumatic causes. This session will review the causes diagnosis and management for perforations of the entire GI tract including the esophagus stomach as well as small and large bowel.		Washington DC Convention Center	145	Y	2016_ps
PS406	13403	Robotic Gastrointestinal Surgery: Help or Hype?	10/20/2016	8:00 AM	9:30 AM	1.5	N	This panel will discuss the efficacy and cost effectiveness of robotic surgery by reviewing the quality of clinical outcomes in general surgery. The panel will also explore how next generation robots may impact complex operations in the future.		Washington DC Convention Center	202 A	Y	2016_ps
PS407	13405	Anything New in Wound Healing?	10/20/2016	9:45 AM	11:15 AM	1.5	N	Local and regional management of infected wounds is critical for solutions and healing of surgical incisions. This panel will review the current techniques on wound control following infection		Washington DC Convention Center	Ballroom B	Y	2016_ps
